Devices
1000
		PedaleDroite - Force			PedaleDroite - Moment			PedaleDroite - CoP			
Frame	Sub Frame	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz
		N	N	N	N.mm	N.mm	N.mm	mm	mm	mm
9222	0	-13.6099	21.3273	-273.977	-75.5736	228.699	-415.464	0.834739	0.275839	0
9222	1	-13.8135	22.0191	-269.614	-97.6439	223.181	-396.834	0.827776	0.362161	0
9222	2	-14.0545	21.8237	-268.563	-156.187	199.174	-451.874	0.74163	0.581566	0
9222	3	-17.8268	24.7479	-270.383	-220.519	33.6829	-512.137	0.124575	0.815579	0
9223	0	-18.1254	20.2107	-264.5	-180.6	170.236	-426.959	0.643614	0.682798	0
9223	1	-18.5271	19.4291	-253.515	-151.721	193.383	-391.999	0.76281	0.598471	0
9223	2	-17.8909	19.9003	-252.977	-204.561	203.879	-505.078	0.805919	0.808615	0
9223	3	-17.7762	20.083	-250.829	-298.182	225.913	-576.674	0.900664	1.18879	0
9224	0	-17.938	19.1856	-245.86	-294.055	136.452	-638.917	0.554999	1.19603	0
9224	1	-19.331	16.0768	-243.551	-315.007	134.373	-682.919	0.551724	1.29339	0
9224	2	-21.0242	16.0833	-231.252	-244.351	126.246	-714.964	0.545923	1.05664	0
9224	3	-17.0656	14.2972	-235.156	-261.174	174.957	-759.31	0.744003	1.11064	0
9225	0	-17.0444	17.29	-232.591	-405.302	214.844	-782.647	0.923698	1.74255	0
9225	1	-18.8668	15.7053	-230.019	-415.902	129.029	-768.629	0.560948	1.80812	0
9225	2	-19.4592	14.9884	-225.329	-390.996	154.738	-817.051	0.68672	1.73522	0
9225	3	-17.8496	14.0396	-224.563	-399.981	166.561	-852.687	0.741714	1.78116	0
9226	0	-13.2019	9.68513	-213.772	-369.832	325.447	-769.511	1.5224	1.73003	0
9226	1	-17.622	15.521	-217.435	-509.902	146.559	-813.234	0.674036	2.34508	0
9226	2	-18.7686	12.4429	-215.042	-445.07	178.919	-819.816	0.832021	2.06969	0
9226	3	-19.5823	12.0169	-210.658	-360.403	160.096	-872.702	0.759983	1.71085	0
9227	0	-15.1154	11.1211	-213.102	-429.983	209.097	-1023.06	0.981205	2.01773	0
9227	1	-14.2458	11.6959	-210.59	-508.733	208.248	-1112.22	0.988876	2.41575	0
9227	2	-12.5025	11.6657	-207.273	-565.587	175.695	-1076.3	0.847648	2.72871	0
9227	3	-16.2176	10.2203	-204.226	-545.357	153.068	-1065.41	0.749504	2.67036	0
9228	0	-14.5973	10.2635	-207.422	-479.497	210.635	-987.789	1.01549	2.3117	0
9228	1	-13.5422	8.6241	-200.399	-475.401	302.746	-947.695	1.51072	2.37228	0
9228	2	-11.8149	14.9373	-197.564	-578.703	172.445	-903.478	0.872856	2.92919	0
9228	3	-16.544	11.0125	-199.706	-503.656	174.448	-981.338	0.873523	2.52199	0
9229	0	-18.6871	10.4539	-199.515	-461.133	190.539	-1002.57	0.955012	2.31127	0
9229	1	-15.3153	6.2491	-190.173	-433.95	342.506	-930.888	1.80102	2.28187	0
9229	2	-16.7541	9.89841	-195.728	-413.99	247.174	-1122.7	1.26285	2.11513	0
9229	3	-13.7821	11.2933	-190.713	-481.19	295.368	-1190.87	1.54876	2.52311	0
9230	0	-15.7252	10.5391	-193.046	-548.555	184.635	-1246.43	0.956429	2.84157	0
9230	1	-17.6864	10.0262	-192.187	-500.474	192.635	-1201.23	1.00233	2.60409	0
9230	2	-17.281	7.53142	-189.202	-460.676	165.359	-1258.93	0.873981	2.43483	0
9230	3	-13.7059	10.8764	-183.143	-466.666	255.754	-1193.76	1.39647	2.5481	0
9231	0	-17.5155	9.65193	-185.18	-460.128	157.052	-1152.92	0.8481	2.48476	0
9231	1	-17.4655	11.047	-187.572	-430.576	165.043	-1066.08	0.879892	2.29553	0
9231	2	-22.3594	12.5324	-188.442	-510.055	95.8934	-1073.25	0.508876	2.7067	0
9231	3	-18.5986	7.95426	-184.136	-363.198	182.593	-1057.04	0.99162	1.97244	0
9232	0	-17.6596	9.63419	-181.195	-404.74	196.704	-1066.6	1.08559	2.23373	0
9232	1	-17.2645	9.67484	-183.463	-448.846	192.978	-1102.88	1.05187	2.44652	0
9232	2	-19.5306	10.1774	-180.624	-410.453	139.323	-1093.54	0.77134	2.27242	0
9232	3	-19.2039	7.74313	-180.534	-372.67	141.059	-1131.82	0.781344	2.06426	0
9233	0	-16.5201	8.84138	-176.118	-312.369	256.931	-1240.67	1.45886	1.77364	0
9233	1	-16.5001	8.70521	-180.032	-312.35	116.5	-1170.71	0.647109	1.73497	0
9233	2	-18.0639	9.75902	-179.622	-340.211	97.7117	-1140.61	0.543986	1.89404	0
9233	3	-14.9055	5.23681	-171.373	-334.275	307.433	-927.65	1.79395	1.95057	0
9234	0	-19.0594	9.24246	-178.217	-275.37	131.164	-1092.88	0.735976	1.54514	0
9234	1	-17.0887	10.2416	-180.198	-216.999	138.675	-1024.63	0.76957	1.20423	0
9234	2	-14.4187	9.89326	-180.692	-118.587	197.414	-950.952	1.09254	0.656295	0
9234	3	-18.7269	12.6851	-179.14	-256.604	55.7648	-1053.62	0.311292	1.43242	0
9235	0	-18.7149	8.42032	-180.223	-145.646	133.562	-974.726	0.741095	0.808144	0
