Devices
1000
		PedaleGauche - Force			PedaleGauche - Moment			PedaleGauche - CoP			
Frame	Sub Frame	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz
		N	N	N	N.mm	N.mm	N.mm	mm	mm	mm
9212	3	-14.363	12.2862	-10.0358	-301.912	-83.1056	436.043	-8.28095	30.0836	0
9213	0	-13.3323	8.07911	-6.54063	-149.31	-155.347	397.261	-23.7511	22.8281	0
9213	1	-13.7764	8.73892	-8.66319	-216.164	-161.426	415.944	-18.6336	24.952	0
9213	2	-17.4709	7.77752	-1.96282	-22.625	-224.758	415.006	-114.508	11.5268	0
9213	3	-14.4484	4.8078	-4.2853	-86.0288	-259.23	390.53	-60.4928	20.0753	0
9214	0	-15.8459	7.60106	0.564787	-102.884	-288.452	481.887	0	0	0
9214	1	-13.9158	8.15907	-0.690428	-185.011	-257.624	463.406	0	0	0
9214	2	-10.6982	9.03944	2.89042	-223.537	-215.16	439.059	74.4389	-77.3373	0
9214	3	-9.52398	6.84462	6.80739	-187.648	-155.162	524.46	22.7933	-27.5654	0
9215	0	-10.977	7.3756	6.16006	-150.191	-258.951	462.965	42.0371	-24.3815	0
9215	1	-10.279	9.74883	5.14307	-176.892	-323.081	426.792	62.8187	-34.3942	0
9215	2	-9.38876	5.46496	8.00421	-120.178	-295.57	400.206	36.9268	-15.0144	0
9215	3	-4.65363	8.64235	15.5237	-176.796	-269.39	475.565	17.3534	-11.3888	0
9216	0	-4.94266	1.97236	13.7618	49.8664	-302.538	317.869	21.984	3.62355	0
9216	1	-4.35526	8.11128	13.7149	-135.689	-288.297	387.676	21.0207	-9.8935	0
9216	2	-6.26451	6.81654	10.2432	-105.738	-265.339	372.596	25.9038	-10.3227	0
9216	3	-8.25767	7.72817	15.5235	-10.4751	-316.264	424.743	20.3733	-0.67479	0
9217	0	-6.79681	8.91729	7.09118	-167.465	-189.886	382.87	26.7778	-23.6159	0
9217	1	-6.21177	7.61784	7.12166	-118.233	-159.311	332.777	22.37	-16.6019	0
9217	2	-7.62693	8.1625	5.56869	-155.653	-228.091	444.235	40.9595	-27.9514	0
9217	3	-9.52809	7.05831	7.38556	-95.7507	-277.97	436.638	37.637	-12.9646	0
9218	0	-8.54635	8.46095	7.0337	-133.365	-252.186	472.74	35.854	-18.9609	0
9218	1	-11.7001	7.48881	9.22193	-101.302	-317.446	444.978	34.423	-10.9849	0
9218	2	-8.72294	5.95985	9.35137	-55.0852	-218.563	453.439	23.3723	-5.8906	0
9218	3	-12.4478	8.70887	8.6063	-157.321	-275.038	421.508	31.9578	-18.2798	0
9219	0	-13.3628	8.32575	1.51944	-88.6057	-297.262	419.581	195.64	-58.3148	0
9219	1	-13.7504	13.0124	1.24761	-322.907	-219.555	541.703	175.981	-258.821	0
9219	2	-14.8095	9.69227	0.365499	-165.705	-278.47	513.182	0	0	0
9219	3	-14.8271	10.0475	-1.66911	-208.126	-310.454	606.057	-185.999	124.692	0
9220	0	-15.5613	7.17782	-4.20914	-167.35	-320.723	545.661	-76.1968	39.7587	0
9220	1	-15.1026	7.43753	4.06103	-121.838	-437.503	593.928	107.732	-30.0017	0
9220	2	-15.6066	8.26511	3.53366	-176.533	-491.649	665.924	139.133	-49.9575	0
9220	3	-13.4987	8.80309	7.88616	-178.814	-462.906	603.577	58.6986	-22.6744	0
9221	0	-9.61244	11.8294	9.69603	-271.458	-323.329	566.455	33.3465	-27.9968	0
9221	1	-12.9505	10.6421	6.80924	-203.926	-441.148	574.291	64.7866	-29.9485	0
9221	2	-10.7419	8.70847	7.54622	-185.842	-387.397	565.344	51.3366	-24.6272	0
9221	3	-10.9129	9.2807	8.32987	-194.826	-408.448	606.016	49.0342	-23.3889	0
9222	0	-10.393	8.05791	7.27435	-122.576	-408.978	605.11	56.222	-16.8504	0
9222	1	-6.23311	12.7995	17.0087	-321.989	-460.743	736.991	27.0887	-18.9308	0
9222	2	-12.0991	8.77279	13.2257	-202.386	-511.882	623.104	38.7036	-15.3025	0
9222	3	-7.72932	11.7578	16.9591	-269.015	-483.674	704.861	28.52	-15.8625	0
9223	0	-9.92803	11.6141	11.2359	-267.307	-431.268	701.696	38.3829	-23.7904	0
9223	1	-8.64566	9.64063	12.2603	-243.9	-464.944	646.262	37.9226	-19.8935	0
9223	2	-10.6533	12.1528	9.39014	-280.982	-474.014	738.545	50.48	-29.923	0
9223	3	-11.2633	6.61633	7.32514	-168.544	-515.863	666.739	70.4236	-23.009	0
9224	0	-9.5291	10.0173	11.4647	-221.488	-482.976	692.016	42.1271	-19.3191	0
9224	1	-11.759	9.01114	13.5261	-175.997	-618.093	771.439	45.6964	-13.0117	0
9224	2	-9.74002	7.45008	15.2275	-175.209	-500.977	718.989	32.8995	-11.5061	0
9224	3	-10.6331	12.6999	16.8273	-241.234	-532.895	759.657	31.6684	-14.3359	0
9225	0	-10.2674	9.8803	13.2975	-278.931	-445.487	819.64	33.5016	-20.9762	0
9225	1	-10.7897	11.4155	6.11797	-266.664	-513.587	775.369	83.9474	-43.587	0
9225	2	-14.7547	13.1189	6.12668	-289.466	-648.159	807.911	105.793	-47.2468	0
9225	3	-15.9302	9.64991	5.84913	-202.957	-678.076	918.745	115.928	-34.6986	0
9226	0	-12.2214	13.2349	15.4172	-344.738	-632.424	1000.92	41.0208	-22.3607	0
9226	1	-16.5836	13.1036	14.7416	-356.531	-691.19	892.065	46.8871	-24.1854	0
9226	2	-14.7636	12.5117	14.4295	-298.129	-679.961	952.945	47.1231	-20.6611	0
9226	3	-17.2238	17.5012	9.66789	-477.403	-625.367	1015.69	64.6849	-49.3803	0
9227	0	-18.0524	9.91648	9.53284	-165.81	-667.083	834.392	69.9773	-17.3936	0
9227	1	-14.8584	12.7397	9.43296	-274.945	-648.778	945.331	68.7778	-29.1473	0
9227	2	-13.6269	14.0629	18.126	-285	-711.534	970.179	39.2549	-15.7233	0
9227	3	-14.6074	10.5886	18.4481	-203.04	-764.171	915.85	41.4227	-11.006	0
9228	0	-14.369	18.0176	31.7599	-220.455	-630.304	993.836	19.8459	-6.94129	0
9228	1	-15.8728	15.8635	17.1181	-350.982	-731.034	1041.66	42.7054	-20.5036	0
9228	2	-16.1431	15.6326	21.9671	-284.441	-721.396	1021.04	32.8399	-12.9485	0
9228	3	-17.2563	16.0055	20.1089	-345.942	-793.307	1143.93	39.4505	-17.2034	0
9229	0	-22.6032	13.7469	26.5319	-160.329	-1008.48	1204.16	38.01	-6.04289	0
9229	1	-18.5664	16.8206	22.5748	-259.017	-996.254	1079.62	44.1312	-11.4737	0
9229	2	-13.7348	17.9169	30.6272	-350.526	-803.509	1126.81	26.2351	-11.4449	0
9229	3	-15.7015	16.6155	26.5143	-288.754	-896.315	1079.97	33.805	-10.8905	0
9230	0	-13.2549	15.8328	25.5769	-281.823	-788.729	1078.98	30.8375	-11.0186	0
9230	1	-16.288	16.5109	24.5279	-244.161	-910.414	1067.36	37.1174	-9.95442	0
9230	2	-16.511	13.0377	24.0899	-152.071	-905.488	1156.71	37.5879	-6.31264	0
9230	3	-15.1382	15.1408	28.6296	-235.063	-857.813	1141.82	29.9625	-8.2105	0
9231	0	-16.0746	16.699	29.1935	-275.57	-862.187	1183.14	29.5335	-9.43942	0
9231	1	-18.412	17.5467	28.237	-298.689	-923.336	1240.14	32.6995	-10.5779	0
9231	2	-19.3119	16.4719	25.4649	-330.004	-971.057	1248.48	38.1331	-12.9591	0
9231	3	-19.8203	17.8702	27.3151	-322.841	-1009.53	1301.37	36.9585	-11.8191	0
9232	0	-18.7402	14.3161	30.0667	-242.477	-1086.22	1253.97	36.1271	-8.06462	0
9232	1	-16.2075	20.5638	32.6046	-453.096	-1077.41	1406.69	33.0446	-13.8967	0
9232	2	-16.5947	14.9354	32.537	-293.274	-1072.22	1235.54	32.954	-9.01356	0
